device_id,device_type,data_type,location_type,access_frequency,user_consent,network_security_level,data_sensitivity,encryption_level,retention_period,data_volume,access_pattern,last_audit_days,data_anonymization,data_pseudonymization,data_minimization,purpose_limitation,storage_duration,data_sharing,compliance_status,security_incidents,privacy_impact_assessment,data_protection_officer,risk_level
device_0,actuator,audio,restricted,62,True,4,5,2,238,830,irregular,32,True,True,True,True,342,none,partially_compliant,3,False,False,3
device_1,gateway,health,semi_public,53,True,4,3,1,21,976,irregular,35,True,True,True,False,203,none,compliant,4,False,True,3
device_2,sensor,identification,private_space,29,False,4,5,3,277,197,burst,16,True,True,True,True,243,internal,compliant,2,True,False,3
device_3,sensor,identification,restricted,2,False,2,4,3,259,619,regular,21,False,True,True,True,347,none,compliant,2,False,False,3
device_4,sensor,pressure,semi_public,61,True,3,3,2,147,367,burst,24,True,False,False,True,6,internal,compliant,0,True,True,2
device_5,camera,health,restricted,2,True,4,5,1,7,112,irregular,50,True,False,True,True,99,internal,partially_compliant,2,True,True,3
device_6,actuator,audio,semi_public,14,True,5,3,1,201,652,regular,25,True,False,False,True,271,internal,compliant,2,True,False,3
device_7,actuator,location,semi_public,50,True,1,5,3,81,254,irregular,89,False,True,True,True,76,external,compliant,1,False,True,4
device_8,actuator,audio,restricted,5,True,1,1,1,353,339,burst,46,True,True,False,True,98,none,compliant,1,False,True,3
device_9,camera,temperature,public_space,40,True,3,5,2,169,912,irregular,39,True,True,True,True,331,none,compliant,4,True,True,3
device_10,camera,location,restricted,32,False,5,3,3,19,844,irregular,78,True,False,False,True,11,none,partially_compliant,2,True,True,3
device_11,wearable,humidity,semi_public,83,True,1,3,3,9,589,irregular,12,False,False,False,True,165,external,partially_compliant,3,True,True,3
device_12,actuator,temperature,semi_public,84,True,4,4,3,54,280,burst,35,True,False,True,True,338,none,non_compliant,0,True,False,2
device_13,camera,video,private_space,83,False,1,2,1,302,410,burst,40,True,False,False,True,269,none,compliant,4,False,True,4
